[1]	valid_0's auc: 0.765169	valid_0's binary_logloss: 0.0846744
[2]	valid_0's auc: 0.765109	valid_0's binary_logloss: 0.0844581
[3]	valid_0's auc: 0.765121	valid_0's binary_logloss: 0.0842573
[4]	valid_0's auc: 0.765429	valid_0's binary_logloss: 0.0840605
[5]	valid_0's auc: 0.768458	valid_0's binary_logloss: 0.0838756
[6]	valid_0's auc: 0.768587	valid_0's binary_logloss: 0.0836925
[7]	valid_0's auc: 0.765402	valid_0's binary_logloss: 0.0835209
[8]	valid_0's auc: 0.765535	valid_0's binary_logloss: 0.0833533
[9]	valid_0's auc: 0.765634	valid_0's binary_logloss: 0.0831929
[10]	valid_0's auc: 0.765983	valid_0's binary_logloss: 0.0830461
[11]	valid_0's auc: 0.766049	valid_0's binary_logloss: 0.0829058
[12]	valid_0's auc: 0.766134	valid_0's binary_logloss: 0.0827617
[13]	valid_0's auc: 0.76615	valid_0's binary_logloss: 0.0826241
[14]	valid_0's auc: 0.766212	valid_0's binary_logloss: 0.0824932
[15]	valid_0's auc: 0.767073	valid_0's binary_logloss: 0.0823697
[16]	valid_0's auc: 0.767088	valid_0's binary_logloss: 0.0822399
[17]	valid_0's auc: 0.767147	valid_0's binary_logloss: 0.0821108
[18]	valid_0's auc: 0.767121	valid_0's binary_logloss: 0.081989
[19]	valid_0's auc: 0.766915	valid_0's binary_logloss: 0.0818673
[20]	valid_0's auc: 0.76668	valid_0's binary_logloss: 0.0817541
[21]	valid_0's auc: 0.766626	valid_0's binary_logloss: 0.0816454
[22]	valid_0's auc: 0.766608	valid_0's binary_logloss: 0.0815414
[23]	valid_0's auc: 0.766728	valid_0's binary_logloss: 0.0814394
[24]	valid_0's auc: 0.76664	valid_0's binary_logloss: 0.0813412
[25]	valid_0's auc: 0.766636	valid_0's binary_logloss: 0.0812406
[26]	valid_0's auc: 0.766653	valid_0's binary_logloss: 0.0811458
[27]	valid_0's auc: 0.766586	valid_0's binary_logloss: 0.081053
[28]	valid_0's auc: 0.766362	valid_0's binary_logloss: 0.0809638
[29]	valid_0's auc: 0.766388	valid_0's binary_logloss: 0.0808726
[30]	valid_0's auc: 0.7664	valid_0's binary_logloss: 0.0807787
[31]	valid_0's auc: 0.766397	valid_0's binary_logloss: 0.0806933
[32]	valid_0's auc: 0.766306	valid_0's binary_logloss: 0.080605
[33]	valid_0's auc: 0.766316	valid_0's binary_logloss: 0.0805197
[34]	valid_0's auc: 0.766314	valid_0's binary_logloss: 0.0804376
[35]	valid_0's auc: 0.766359	valid_0's binary_logloss: 0.0803565
[36]	valid_0's auc: 0.766517	valid_0's binary_logloss: 0.0802706
[37]	valid_0's auc: 0.76658	valid_0's binary_logloss: 0.0801925
[38]	valid_0's auc: 0.766654	valid_0's binary_logloss: 0.0801174
[39]	valid_0's auc: 0.766682	valid_0's binary_logloss: 0.0800389
[40]	valid_0's auc: 0.766736	valid_0's binary_logloss: 0.079965
[41]	valid_0's auc: 0.766843	valid_0's binary_logloss: 0.0798872
[42]	valid_0's auc: 0.766852	valid_0's binary_logloss: 0.0798175
[43]	valid_0's auc: 0.766875	valid_0's binary_logloss: 0.0797445
[44]	valid_0's auc: 0.766883	valid_0's binary_logloss: 0.0796757
[45]	valid_0's auc: 0.766968	valid_0's binary_logloss: 0.0796037
[46]	valid_0's auc: 0.766992	valid_0's binary_logloss: 0.0795365
[47]	valid_0's auc: 0.767027	valid_0's binary_logloss: 0.0794695
[48]	valid_0's auc: 0.767197	valid_0's binary_logloss: 0.079406
[49]	valid_0's auc: 0.767448	valid_0's binary_logloss: 0.0793363
