[1]	valid_0's auc: 0.758924	valid_0's binary_logloss: 0.0846454
[2]	valid_0's auc: 0.758803	valid_0's binary_logloss: 0.0844022
[3]	valid_0's auc: 0.758825	valid_0's binary_logloss: 0.0841785
[4]	valid_0's auc: 0.759018	valid_0's binary_logloss: 0.0839908
[5]	valid_0's auc: 0.759097	valid_0's binary_logloss: 0.0838129
[6]	valid_0's auc: 0.759147	valid_0's binary_logloss: 0.0836343
[7]	valid_0's auc: 0.759235	valid_0's binary_logloss: 0.0834877
[8]	valid_0's auc: 0.759881	valid_0's binary_logloss: 0.0833103
[9]	valid_0's auc: 0.759944	valid_0's binary_logloss: 0.0831579
[10]	valid_0's auc: 0.760031	valid_0's binary_logloss: 0.0830279
[11]	valid_0's auc: 0.760366	valid_0's binary_logloss: 0.0828762
[12]	valid_0's auc: 0.761242	valid_0's binary_logloss: 0.0827498
[13]	valid_0's auc: 0.761229	valid_0's binary_logloss: 0.082628
[14]	valid_0's auc: 0.761551	valid_0's binary_logloss: 0.0824963
[15]	valid_0's auc: 0.762375	valid_0's binary_logloss: 0.0823675
[16]	valid_0's auc: 0.762596	valid_0's binary_logloss: 0.0822441
[17]	valid_0's auc: 0.762882	valid_0's binary_logloss: 0.0821224
[18]	valid_0's auc: 0.763328	valid_0's binary_logloss: 0.0820131
[19]	valid_0's auc: 0.763495	valid_0's binary_logloss: 0.0818998
[20]	valid_0's auc: 0.763548	valid_0's binary_logloss: 0.0817928
[21]	valid_0's auc: 0.763862	valid_0's binary_logloss: 0.0816861
[22]	valid_0's auc: 0.764145	valid_0's binary_logloss: 0.0815868
[23]	valid_0's auc: 0.764125	valid_0's binary_logloss: 0.081493
[24]	valid_0's auc: 0.764156	valid_0's binary_logloss: 0.0813996
[25]	valid_0's auc: 0.771547	valid_0's binary_logloss: 0.081307
[26]	valid_0's auc: 0.771601	valid_0's binary_logloss: 0.081219
[27]	valid_0's auc: 0.771607	valid_0's binary_logloss: 0.0811311
[28]	valid_0's auc: 0.771759	valid_0's binary_logloss: 0.0810419
[29]	valid_0's auc: 0.771845	valid_0's binary_logloss: 0.0809592
[30]	valid_0's auc: 0.771886	valid_0's binary_logloss: 0.0808759
[31]	valid_0's auc: 0.771883	valid_0's binary_logloss: 0.080796
[32]	valid_0's auc: 0.771895	valid_0's binary_logloss: 0.0807182
[33]	valid_0's auc: 0.771901	valid_0's binary_logloss: 0.0806422
[34]	valid_0's auc: 0.772358	valid_0's binary_logloss: 0.0805659
[35]	valid_0's auc: 0.772634	valid_0's binary_logloss: 0.0804869
[36]	valid_0's auc: 0.772784	valid_0's binary_logloss: 0.0804171
[37]	valid_0's auc: 0.772762	valid_0's binary_logloss: 0.0803504
[38]	valid_0's auc: 0.772949	valid_0's binary_logloss: 0.0802778
[39]	valid_0's auc: 0.773024	valid_0's binary_logloss: 0.0802072
[40]	valid_0's auc: 0.773085	valid_0's binary_logloss: 0.0801357
[41]	valid_0's auc: 0.773216	valid_0's binary_logloss: 0.0800667
[42]	valid_0's auc: 0.773263	valid_0's binary_logloss: 0.0799996
[43]	valid_0's auc: 0.773391	valid_0's binary_logloss: 0.0799331
[44]	valid_0's auc: 0.773402	valid_0's binary_logloss: 0.0798663
[45]	valid_0's auc: 0.773491	valid_0's binary_logloss: 0.0798009
[46]	valid_0's auc: 0.773506	valid_0's binary_logloss: 0.0797381
[47]	valid_0's auc: 0.773697	valid_0's binary_logloss: 0.0796782
[48]	valid_0's auc: 0.773785	valid_0's binary_logloss: 0.0796164
[49]	valid_0's auc: 0.773808	valid_0's binary_logloss: 0.0795567
[50]	valid_0's auc: 0.773823	valid_0's binary_logloss: 0.0794991
[51]	valid_0's auc: 0.773968	valid_0's binary_logloss: 0.0794417
[52]	valid_0's auc: 0.773984	valid_0's binary_logloss: 0.079385
[53]	valid_0's auc: 0.774013	valid_0's binary_logloss: 0.0793302
[54]	valid_0's auc: 0.774037	valid_0's binary_logloss: 0.0792772
[55]	valid_0's auc: 0.77394	valid_0's binary_logloss: 0.079224
[56]	valid_0's auc: 0.773912	valid_0's binary_logloss: 0.0791745
[57]	valid_0's auc: 0.773919	valid_0's binary_logloss: 0.0791247
[58]	valid_0's auc: 0.77414	valid_0's binary_logloss: 0.0790767
[59]	valid_0's auc: 0.774158	valid_0's binary_logloss: 0.0790239
[60]	valid_0's auc: 0.77416	valid_0's binary_logloss: 0.0789775
[61]	valid_0's auc: 0.774387	valid_0's binary_logloss: 0.0789292
[62]	valid_0's auc: 0.774397	valid_0's binary_logloss: 0.0788798
