[1]	valid_0's auc: 0.709162	valid_0's binary_logloss: 0.0847345
[2]	valid_0's auc: 0.70932	valid_0's binary_logloss: 0.0845736
[3]	valid_0's auc: 0.709486	valid_0's binary_logloss: 0.0844283
[4]	valid_0's auc: 0.709476	valid_0's binary_logloss: 0.0842927
[5]	valid_0's auc: 0.709517	valid_0's binary_logloss: 0.0841603
[6]	valid_0's auc: 0.709505	valid_0's binary_logloss: 0.0840393
[7]	valid_0's auc: 0.709516	valid_0's binary_logloss: 0.0839171
[8]	valid_0's auc: 0.709474	valid_0's binary_logloss: 0.0838028
[9]	valid_0's auc: 0.709528	valid_0's binary_logloss: 0.0836948
[10]	valid_0's auc: 0.709517	valid_0's binary_logloss: 0.0835914
[11]	valid_0's auc: 0.709537	valid_0's binary_logloss: 0.0834896
[12]	valid_0's auc: 0.709542	valid_0's binary_logloss: 0.0833923
[13]	valid_0's auc: 0.709528	valid_0's binary_logloss: 0.0832992
[14]	valid_0's auc: 0.709546	valid_0's binary_logloss: 0.0832106
[15]	valid_0's auc: 0.709531	valid_0's binary_logloss: 0.0831241
[16]	valid_0's auc: 0.709526	valid_0's binary_logloss: 0.0830415
[17]	valid_0's auc: 0.71009	valid_0's binary_logloss: 0.0829655
[18]	valid_0's auc: 0.710014	valid_0's binary_logloss: 0.0828918
[19]	valid_0's auc: 0.710682	valid_0's binary_logloss: 0.0828197
[20]	valid_0's auc: 0.710685	valid_0's binary_logloss: 0.0827454
[21]	valid_0's auc: 0.710681	valid_0's binary_logloss: 0.0826733
[22]	valid_0's auc: 0.710638	valid_0's binary_logloss: 0.0826073
[23]	valid_0's auc: 0.710638	valid_0's binary_logloss: 0.0825376
[24]	valid_0's auc: 0.710639	valid_0's binary_logloss: 0.0824724
[25]	valid_0's auc: 0.710624	valid_0's binary_logloss: 0.0824127
[26]	valid_0's auc: 0.710389	valid_0's binary_logloss: 0.0823499
[27]	valid_0's auc: 0.710708	valid_0's binary_logloss: 0.0822843
[28]	valid_0's auc: 0.710761	valid_0's binary_logloss: 0.0822234
[29]	valid_0's auc: 0.710754	valid_0's binary_logloss: 0.0821641
[30]	valid_0's auc: 0.710701	valid_0's binary_logloss: 0.0821075
[31]	valid_0's auc: 0.710832	valid_0's binary_logloss: 0.082049
[32]	valid_0's auc: 0.710808	valid_0's binary_logloss: 0.0819912
[33]	valid_0's auc: 0.710894	valid_0's binary_logloss: 0.0819363
[34]	valid_0's auc: 0.710834	valid_0's binary_logloss: 0.0818836
[35]	valid_0's auc: 0.710817	valid_0's binary_logloss: 0.0818308
[36]	valid_0's auc: 0.710846	valid_0's binary_logloss: 0.0817801
[37]	valid_0's auc: 0.710884	valid_0's binary_logloss: 0.0817287
[38]	valid_0's auc: 0.710797	valid_0's binary_logloss: 0.0816811
[39]	valid_0's auc: 0.710811	valid_0's binary_logloss: 0.0816319
[40]	valid_0's auc: 0.710806	valid_0's binary_logloss: 0.0815824
[41]	valid_0's auc: 0.710844	valid_0's binary_logloss: 0.0815344
[42]	valid_0's auc: 0.710787	valid_0's binary_logloss: 0.0814881
[43]	valid_0's auc: 0.710732	valid_0's binary_logloss: 0.0814436
[44]	valid_0's auc: 0.710659	valid_0's binary_logloss: 0.0813986
[45]	valid_0's auc: 0.710614	valid_0's binary_logloss: 0.0813554
[46]	valid_0's auc: 0.710615	valid_0's binary_logloss: 0.0813131
[47]	valid_0's auc: 0.710592	valid_0's binary_logloss: 0.0812724
[48]	valid_0's auc: 0.710557	valid_0's binary_logloss: 0.0812317
[49]	valid_0's auc: 0.710476	valid_0's binary_logloss: 0.0811915
[50]	valid_0's auc: 0.710479	valid_0's binary_logloss: 0.0811519
[51]	valid_0's auc: 0.710438	valid_0's binary_logloss: 0.0811131
[52]	valid_0's auc: 0.710423	valid_0's binary_logloss: 0.0810753
[53]	valid_0's auc: 0.710421	valid_0's binary_logloss: 0.0810381
[54]	valid_0's auc: 0.710419	valid_0's binary_logloss: 0.0810006
[55]	valid_0's auc: 0.710409	valid_0's binary_logloss: 0.0809644
[56]	valid_0's auc: 0.710435	valid_0's binary_logloss: 0.0809285
[57]	valid_0's auc: 0.710386	valid_0's binary_logloss: 0.0808964
[58]	valid_0's auc: 0.710387	valid_0's binary_logloss: 0.0808618
[59]	valid_0's auc: 0.710386	valid_0's binary_logloss: 0.0808302
[60]	valid_0's auc: 0.710365	valid_0's binary_logloss: 0.0807997
[61]	valid_0's auc: 0.710333	valid_0's binary_logloss: 0.0807705
[62]	valid_0's auc: 0.710333	valid_0's binary_logloss: 0.0807398
[63]	valid_0's auc: 0.710329	valid_0's binary_logloss: 0.0807087
[64]	valid_0's auc: 0.710353	valid_0's binary_logloss: 0.0806761
[65]	valid_0's auc: 0.710371	valid_0's binary_logloss: 0.0806448
[66]	valid_0's auc: 0.710375	valid_0's binary_logloss: 0.0806134
[67]	valid_0's auc: 0.710404	valid_0's binary_logloss: 0.0805827
[68]	valid_0's auc: 0.710417	valid_0's binary_logloss: 0.0805524
[69]	valid_0's auc: 0.710373	valid_0's binary_logloss: 0.0805258
[70]	valid_0's auc: 0.71043	valid_0's binary_logloss: 0.0804958
[71]	valid_0's auc: 0.71041	valid_0's binary_logloss: 0.080466
[72]	valid_0's auc: 0.710386	valid_0's binary_logloss: 0.0804406
[73]	valid_0's auc: 0.710407	valid_0's binary_logloss: 0.080412
[74]	valid_0's auc: 0.710394	valid_0's binary_logloss: 0.0803864
[75]	valid_0's auc: 0.710402	valid_0's binary_logloss: 0.0803607
[76]	valid_0's auc: 0.710413	valid_0's binary_logloss: 0.0803339
[77]	valid_0's auc: 0.710398	valid_0's binary_logloss: 0.0803075
[78]	valid_0's auc: 0.710402	valid_0's binary_logloss: 0.0802833
[79]	valid_0's auc: 0.7104	valid_0's binary_logloss: 0.0802581
[80]	valid_0's auc: 0.710383	valid_0's binary_logloss: 0.0802362
[81]	valid_0's auc: 0.710397	valid_0's binary_logloss: 0.0802132
[82]	valid_0's auc: 0.710394	valid_0's binary_logloss: 0.0801901
[83]	valid_0's auc: 0.710401	valid_0's binary_logloss: 0.0801664
[84]	valid_0's auc: 0.710402	valid_0's binary_logloss: 0.0801409
[85]	valid_0's auc: 0.710389	valid_0's binary_logloss: 0.0801206
[86]	valid_0's auc: 0.710392	valid_0's binary_logloss: 0.0800961
[87]	valid_0's auc: 0.710407	valid_0's binary_logloss: 0.0800746
[88]	valid_0's auc: 0.710416	valid_0's binary_logloss: 0.0800532
[89]	valid_0's auc: 0.710409	valid_0's binary_logloss: 0.0800336
[90]	valid_0's auc: 0.710387	valid_0's binary_logloss: 0.0800146
[91]	valid_0's auc: 0.710389	valid_0's binary_logloss: 0.0799916
[92]	valid_0's auc: 0.710387	valid_0's binary_logloss: 0.0799694
[93]	valid_0's auc: 0.710385	valid_0's binary_logloss: 0.0799494
[94]	valid_0's auc: 0.710386	valid_0's binary_logloss: 0.0799302
[95]	valid_0's auc: 0.710388	valid_0's binary_logloss: 0.0799089
[96]	valid_0's auc: 0.710312	valid_0's binary_logloss: 0.0798912
[97]	valid_0's auc: 0.710302	valid_0's binary_logloss: 0.0798727
[98]	valid_0's auc: 0.710226	valid_0's binary_logloss: 0.0798553
[99]	valid_0's auc: 0.710219	valid_0's binary_logloss: 0.079836
[100]	valid_0's auc: 0.710231	valid_0's binary_logloss: 0.0798177
[101]	valid_0's auc: 0.710227	valid_0's binary_logloss: 0.0798014
[102]	valid_0's auc: 0.710239	valid_0's binary_logloss: 0.0797831
[103]	valid_0's auc: 0.710235	valid_0's binary_logloss: 0.0797661
[104]	valid_0's auc: 0.710214	valid_0's binary_logloss: 0.0797492
[105]	valid_0's auc: 0.710219	valid_0's binary_logloss: 0.0797315
[106]	valid_0's auc: 0.710214	valid_0's binary_logloss: 0.0797161
[107]	valid_0's auc: 0.710229	valid_0's binary_logloss: 0.0796974
[108]	valid_0's auc: 0.710227	valid_0's binary_logloss: 0.0796798
[109]	valid_0's auc: 0.710197	valid_0's binary_logloss: 0.0796648
[110]	valid_0's auc: 0.710199	valid_0's binary_logloss: 0.07965
[111]	valid_0's auc: 0.710197	valid_0's binary_logloss: 0.0796323
[112]	valid_0's auc: 0.710233	valid_0's binary_logloss: 0.079616
[113]	valid_0's auc: 0.710227	valid_0's binary_logloss: 0.0796
[114]	valid_0's auc: 0.710195	valid_0's binary_logloss: 0.0795859
[115]	valid_0's auc: 0.710195	valid_0's binary_logloss: 0.0795721
[116]	valid_0's auc: 0.710195	valid_0's binary_logloss: 0.0795586
[117]	valid_0's auc: 0.71018	valid_0's binary_logloss: 0.0795452
[118]	valid_0's auc: 0.710187	valid_0's binary_logloss: 0.0795278
[119]	valid_0's auc: 0.710186	valid_0's binary_logloss: 0.0795116
[120]	valid_0's auc: 0.710187	valid_0's binary_logloss: 0.0794986
[121]	valid_0's auc: 0.71022	valid_0's binary_logloss: 0.0794864
[122]	valid_0's auc: 0.710227	valid_0's binary_logloss: 0.0794715
