[0]	validation_0-auc:0.76369
[1]	validation_0-auc:0.76424
[2]	validation_0-auc:0.76474
[3]	validation_0-auc:0.76499
[4]	validation_0-auc:0.76783
[5]	validation_0-auc:0.76917
[6]	validation_0-auc:0.76922
[7]	validation_0-auc:0.76934
[8]	validation_0-auc:0.76924
[9]	validation_0-auc:0.76958
[10]	validation_0-auc:0.76964
[11]	validation_0-auc:0.76955
[12]	validation_0-auc:0.76962
[13]	validation_0-auc:0.76964
[14]	validation_0-auc:0.76968
[15]	validation_0-auc:0.76979
[16]	validation_0-auc:0.76972
[17]	validation_0-auc:0.76962
[18]	validation_0-auc:0.76960
[19]	validation_0-auc:0.76897
[20]	validation_0-auc:0.76896
[21]	validation_0-auc:0.76895
[22]	validation_0-auc:0.76888
[23]	validation_0-auc:0.76889
[24]	validation_0-auc:0.76885
[25]	validation_0-auc:0.76875
[26]	validation_0-auc:0.76874
[27]	validation_0-auc:0.76881
[28]	validation_0-auc:0.76857
[29]	validation_0-auc:0.76857
[30]	validation_0-auc:0.76858
[31]	validation_0-auc:0.76875
[32]	validation_0-auc:0.76859
[33]	validation_0-auc:0.76867
[34]	validation_0-auc:0.76872
[35]	validation_0-auc:0.76861
[36]	validation_0-auc:0.76865
[37]	validation_0-auc:0.76867
[38]	validation_0-auc:0.76867
[39]	validation_0-auc:0.76870
[40]	validation_0-auc:0.76884
[41]	validation_0-auc:0.76888
[42]	validation_0-auc:0.76892
[43]	validation_0-auc:0.76896
[44]	validation_0-auc:0.76906
[45]	validation_0-auc:0.76913
[46]	validation_0-auc:0.76912
[47]	validation_0-auc:0.76917
[48]	validation_0-auc:0.76917
[49]	validation_0-auc:0.76926
[50]	validation_0-auc:0.76929
[51]	validation_0-auc:0.76930
[52]	validation_0-auc:0.76935
[53]	validation_0-auc:0.76938
[54]	validation_0-auc:0.76981
[55]	validation_0-auc:0.76987
[56]	validation_0-auc:0.76989
[57]	validation_0-auc:0.76987
[58]	validation_0-auc:0.76991
[59]	validation_0-auc:0.76997
[60]	validation_0-auc:0.77210
[61]	validation_0-auc:0.77225
[62]	validation_0-auc:0.77231
[63]	validation_0-auc:0.77241
[64]	validation_0-auc:0.77246
[65]	validation_0-auc:0.77249
[66]	validation_0-auc:0.77265
[67]	validation_0-auc:0.77280
[68]	validation_0-auc:0.77282
[69]	validation_0-auc:0.77308
[70]	validation_0-auc:0.77330
[71]	validation_0-auc:0.77343
[72]	validation_0-auc:0.77354
[73]	validation_0-auc:0.77367
[74]	validation_0-auc:0.77382
[75]	validation_0-auc:0.77386
[76]	validation_0-auc:0.77400
[77]	validation_0-auc:0.77412
[78]	validation_0-auc:0.77415
[79]	validation_0-auc:0.77417
[80]	validation_0-auc:0.77427
[81]	validation_0-auc:0.77439
[82]	validation_0-auc:0.77441
[83]	validation_0-auc:0.77447
[84]	validation_0-auc:0.77450
[85]	validation_0-auc:0.77459
[86]	validation_0-auc:0.77472
[87]	validation_0-auc:0.77473
[88]	validation_0-auc:0.77476
[89]	validation_0-auc:0.77479
[90]	validation_0-auc:0.77482
[91]	validation_0-auc:0.77481
[92]	validation_0-auc:0.77490
[93]	validation_0-auc:0.77490
[94]	validation_0-auc:0.77501
[95]	validation_0-auc:0.77507
[96]	validation_0-auc:0.77508
[97]	validation_0-auc:0.77515
[98]	validation_0-auc:0.77517
[99]	validation_0-auc:0.77518
[100]	validation_0-auc:0.77522
[101]	validation_0-auc:0.77521
[102]	validation_0-auc:0.77527
[103]	validation_0-auc:0.77665
[104]	validation_0-auc:0.77671
[105]	validation_0-auc:0.77674
[106]	validation_0-auc:0.77679
[107]	validation_0-auc:0.77691
[108]	validation_0-auc:0.77701
[109]	validation_0-auc:0.77705
[110]	validation_0-auc:0.77712
[111]	validation_0-auc:0.77715
[112]	validation_0-auc:0.77717
[113]	validation_0-auc:0.77722
[114]	validation_0-auc:0.77724
[115]	validation_0-auc:0.77729
[116]	validation_0-auc:0.77746
[117]	validation_0-auc:0.77756
[118]	validation_0-auc:0.77726
[119]	validation_0-auc:0.77779
[120]	validation_0-auc:0.77750
[121]	validation_0-auc:0.77761
[122]	validation_0-auc:0.77764
[123]	validation_0-auc:0.77770
[124]	validation_0-auc:0.77775
[125]	validation_0-auc:0.77787
[126]	validation_0-auc:0.77789
[127]	validation_0-auc:0.77789
[128]	validation_0-auc:0.77793
[129]	validation_0-auc:0.77795
[130]	validation_0-auc:0.77800
[131]	validation_0-auc:0.77813
[132]	validation_0-auc:0.77818
[133]	validation_0-auc:0.77821
[134]	validation_0-auc:0.77826
[135]	validation_0-auc:0.77830
[136]	validation_0-auc:0.77829
[137]	validation_0-auc:0.77835
[138]	validation_0-auc:0.77836
[139]	validation_0-auc:0.77915
[140]	validation_0-auc:0.77919
[141]	validation_0-auc:0.77922
[142]	validation_0-auc:0.77946
[143]	validation_0-auc:0.77951
[144]	validation_0-auc:0.77953
[145]	validation_0-auc:0.78008
[146]	validation_0-auc:0.78010
[147]	validation_0-auc:0.78035
[148]	validation_0-auc:0.78054
[149]	validation_0-auc:0.78057
[150]	validation_0-auc:0.78060
[151]	validation_0-auc:0.78064
[152]	validation_0-auc:0.78062
[153]	validation_0-auc:0.78091
[154]	validation_0-auc:0.78094
[155]	validation_0-auc:0.78099
[156]	validation_0-auc:0.78100
[157]	validation_0-auc:0.78105
[158]	validation_0-auc:0.78108
[159]	validation_0-auc:0.78114
[160]	validation_0-auc:0.78115
[161]	validation_0-auc:0.78143
[162]	validation_0-auc:0.78143
[163]	validation_0-auc:0.78155
[164]	validation_0-auc:0.78145
[165]	validation_0-auc:0.78151
[166]	validation_0-auc:0.78149
[167]	validation_0-auc:0.78151
[168]	validation_0-auc:0.78149
[169]	validation_0-auc:0.78153
[170]	validation_0-auc:0.78154
[171]	validation_0-auc:0.78160
[172]	validation_0-auc:0.78167
[173]	validation_0-auc:0.78169
[174]	validation_0-auc:0.78172
[175]	validation_0-auc:0.78173
[176]	validation_0-auc:0.78177
[177]	validation_0-auc:0.78181
[178]	validation_0-auc:0.78183
[179]	validation_0-auc:0.78184
[180]	validation_0-auc:0.78186
[181]	validation_0-auc:0.78191
[182]	validation_0-auc:0.78189
[183]	validation_0-auc:0.78195
[184]	validation_0-auc:0.78196
[185]	validation_0-auc:0.78196
[186]	validation_0-auc:0.78200
[187]	validation_0-auc:0.78201
[188]	validation_0-auc:0.78203
[189]	validation_0-auc:0.78204
[190]	validation_0-auc:0.78205
[191]	validation_0-auc:0.78207
[192]	validation_0-auc:0.78209
[193]	validation_0-auc:0.78210
[194]	validation_0-auc:0.78213
[195]	validation_0-auc:0.78214
[196]	validation_0-auc:0.78215
[197]	validation_0-auc:0.78218
[198]	validation_0-auc:0.78224
[199]	validation_0-auc:0.78225
[200]	validation_0-auc:0.78227
[201]	validation_0-auc:0.78226
[202]	validation_0-auc:0.78224
[203]	validation_0-auc:0.78226
[204]	validation_0-auc:0.78226
[205]	validation_0-auc:0.78228
[206]	validation_0-auc:0.78229
[207]	validation_0-auc:0.78221
[208]	validation_0-auc:0.78225
[209]	validation_0-auc:0.78226
[210]	validation_0-auc:0.78222
[211]	validation_0-auc:0.78223
[212]	validation_0-auc:0.78224
[213]	validation_0-auc:0.78226
[214]	validation_0-auc:0.78231
[215]	validation_0-auc:0.78232
[216]	validation_0-auc:0.78232
[217]	validation_0-auc:0.78232
[218]	validation_0-auc:0.78235
[219]	validation_0-auc:0.78238
[220]	validation_0-auc:0.78238
[221]	validation_0-auc:0.78246
[222]	validation_0-auc:0.78240
[223]	validation_0-auc:0.78248
[224]	validation_0-auc:0.78248
[225]	validation_0-auc:0.78251
[226]	validation_0-auc:0.78251
[227]	validation_0-auc:0.78254
[228]	validation_0-auc:0.78256
[229]	validation_0-auc:0.78260
[230]	validation_0-auc:0.78262
[231]	validation_0-auc:0.78265
[232]	validation_0-auc:0.78265
[233]	validation_0-auc:0.78266
[234]	validation_0-auc:0.78267
[235]	validation_0-auc:0.78267
[236]	validation_0-auc:0.78274
[237]	validation_0-auc:0.78268
[238]	validation_0-auc:0.78279
[239]	validation_0-auc:0.78294
[240]	validation_0-auc:0.78293
[241]	validation_0-auc:0.78295
[242]	validation_0-auc:0.78298
[243]	validation_0-auc:0.78297
[244]	validation_0-auc:0.78299
[245]	validation_0-auc:0.78302
[246]	validation_0-auc:0.78306
[247]	validation_0-auc:0.78307
[248]	validation_0-auc:0.78308
[249]	validation_0-auc:0.78312
[250]	validation_0-auc:0.78312
[251]	validation_0-auc:0.78319
[252]	validation_0-auc:0.78319
[253]	validation_0-auc:0.78321
[254]	validation_0-auc:0.78322
[255]	validation_0-auc:0.78328
[256]	validation_0-auc:0.78330
[257]	validation_0-auc:0.78336
[258]	validation_0-auc:0.78341
[259]	validation_0-auc:0.78346
[260]	validation_0-auc:0.78348
[261]	validation_0-auc:0.78352
[262]	validation_0-auc:0.78357
[263]	validation_0-auc:0.78362
[264]	validation_0-auc:0.78365
[265]	validation_0-auc:0.78370
[266]	validation_0-auc:0.78390
[267]	validation_0-auc:0.78391
[268]	validation_0-auc:0.78395
[269]	validation_0-auc:0.78396
[270]	validation_0-auc:0.78408
[271]	validation_0-auc:0.78411
[272]	validation_0-auc:0.78419
[273]	validation_0-auc:0.78423
[274]	validation_0-auc:0.78430
[275]	validation_0-auc:0.78429
[276]	validation_0-auc:0.78427
[277]	validation_0-auc:0.78430
[278]	validation_0-auc:0.78430
[279]	validation_0-auc:0.78434
[280]	validation_0-auc:0.78438
[281]	validation_0-auc:0.78437
[282]	validation_0-auc:0.78437
[283]	validation_0-auc:0.78443
[284]	validation_0-auc:0.78451
[285]	validation_0-auc:0.78454
[286]	validation_0-auc:0.78470
[287]	validation_0-auc:0.78472
[288]	validation_0-auc:0.78477
[289]	validation_0-auc:0.78478
[290]	validation_0-auc:0.78477
[291]	validation_0-auc:0.78483
[292]	validation_0-auc:0.78481
[293]	validation_0-auc:0.78481
[294]	validation_0-auc:0.78485
[295]	validation_0-auc:0.78484
[296]	validation_0-auc:0.78483
[297]	validation_0-auc:0.78487
[298]	validation_0-auc:0.78482
[299]	validation_0-auc:0.78486
[300]	validation_0-auc:0.78487
[301]	validation_0-auc:0.78491
[302]	validation_0-auc:0.78495
[303]	validation_0-auc:0.78496
[304]	validation_0-auc:0.78491
[305]	validation_0-auc:0.78492
[306]	validation_0-auc:0.78496
[307]	validation_0-auc:0.78502
[308]	validation_0-auc:0.78504
[309]	validation_0-auc:0.78505
[310]	validation_0-auc:0.78502
[311]	validation_0-auc:0.78504
[312]	validation_0-auc:0.78502
[313]	validation_0-auc:0.78500
[314]	validation_0-auc:0.78507
[315]	validation_0-auc:0.78510
[316]	validation_0-auc:0.78513
[317]	validation_0-auc:0.78503
[318]	validation_0-auc:0.78503
