[0]	validation_0-auc:0.77036
[1]	validation_0-auc:0.77095
[2]	validation_0-auc:0.77099
[3]	validation_0-auc:0.77122
[4]	validation_0-auc:0.77084
[5]	validation_0-auc:0.77104
[6]	validation_0-auc:0.77107
[7]	validation_0-auc:0.77213
[8]	validation_0-auc:0.77276
[9]	validation_0-auc:0.77299
[10]	validation_0-auc:0.77295
[11]	validation_0-auc:0.77748
[12]	validation_0-auc:0.77816
[13]	validation_0-auc:0.77838
[14]	validation_0-auc:0.77847
[15]	validation_0-auc:0.77848
[16]	validation_0-auc:0.77839
[17]	validation_0-auc:0.77830
[18]	validation_0-auc:0.77838
[19]	validation_0-auc:0.77869
[20]	validation_0-auc:0.77865
[21]	validation_0-auc:0.78059
[22]	validation_0-auc:0.78061
[23]	validation_0-auc:0.78057
[24]	validation_0-auc:0.78063
[25]	validation_0-auc:0.78087
[26]	validation_0-auc:0.78098
[27]	validation_0-auc:0.78091
[28]	validation_0-auc:0.78089
[29]	validation_0-auc:0.78089
[30]	validation_0-auc:0.78091
[31]	validation_0-auc:0.78091
[32]	validation_0-auc:0.78096
[33]	validation_0-auc:0.78091
[34]	validation_0-auc:0.78091
[35]	validation_0-auc:0.78131
[36]	validation_0-auc:0.78138
[37]	validation_0-auc:0.78139
[38]	validation_0-auc:0.78133
[39]	validation_0-auc:0.78160
[40]	validation_0-auc:0.78309
[41]	validation_0-auc:0.78314
[42]	validation_0-auc:0.78387
[43]	validation_0-auc:0.78389
[44]	validation_0-auc:0.78389
[45]	validation_0-auc:0.78385
[46]	validation_0-auc:0.78386
[47]	validation_0-auc:0.78442
[48]	validation_0-auc:0.78385
[49]	validation_0-auc:0.78445
[50]	validation_0-auc:0.78505
[51]	validation_0-auc:0.78524
[52]	validation_0-auc:0.78542
[53]	validation_0-auc:0.78562
[54]	validation_0-auc:0.78569
[55]	validation_0-auc:0.78570
[56]	validation_0-auc:0.78572
[57]	validation_0-auc:0.78578
[58]	validation_0-auc:0.78587
[59]	validation_0-auc:0.78596
[60]	validation_0-auc:0.78651
[61]	validation_0-auc:0.78652
[62]	validation_0-auc:0.78656
[63]	validation_0-auc:0.78656
[64]	validation_0-auc:0.78656
[65]	validation_0-auc:0.78666
[66]	validation_0-auc:0.78671
[67]	validation_0-auc:0.78673
[68]	validation_0-auc:0.78677
[69]	validation_0-auc:0.78681
[70]	validation_0-auc:0.78696
[71]	validation_0-auc:0.78707
[72]	validation_0-auc:0.78701
[73]	validation_0-auc:0.78713
[74]	validation_0-auc:0.78715
[75]	validation_0-auc:0.78718
[76]	validation_0-auc:0.78723
[77]	validation_0-auc:0.78725
[78]	validation_0-auc:0.78734
[79]	validation_0-auc:0.78735
[80]	validation_0-auc:0.78745
[81]	validation_0-auc:0.78745
[82]	validation_0-auc:0.78755
[83]	validation_0-auc:0.78772
[84]	validation_0-auc:0.78770
[85]	validation_0-auc:0.78773
[86]	validation_0-auc:0.78776
[87]	validation_0-auc:0.78780
[88]	validation_0-auc:0.78783
[89]	validation_0-auc:0.78785
[90]	validation_0-auc:0.78780
[91]	validation_0-auc:0.78773
[92]	validation_0-auc:0.78774
[93]	validation_0-auc:0.78772
[94]	validation_0-auc:0.78778
[95]	validation_0-auc:0.78778
[96]	validation_0-auc:0.78786
[97]	validation_0-auc:0.78787
[98]	validation_0-auc:0.78793
[99]	validation_0-auc:0.78796
[100]	validation_0-auc:0.78798
[101]	validation_0-auc:0.78805
[102]	validation_0-auc:0.78783
[103]	validation_0-auc:0.78788
[104]	validation_0-auc:0.78791
[105]	validation_0-auc:0.78790
[106]	validation_0-auc:0.78789
[107]	validation_0-auc:0.78795
[108]	validation_0-auc:0.78796
[109]	validation_0-auc:0.78805
[110]	validation_0-auc:0.78808
[111]	validation_0-auc:0.78807
[112]	validation_0-auc:0.78806
[113]	validation_0-auc:0.78804
[114]	validation_0-auc:0.78804
[115]	validation_0-auc:0.78796
[116]	validation_0-auc:0.78800
[117]	validation_0-auc:0.78801
[118]	validation_0-auc:0.78803
[119]	validation_0-auc:0.78805
[120]	validation_0-auc:0.78808
[121]	validation_0-auc:0.78809
[122]	validation_0-auc:0.78813
[123]	validation_0-auc:0.78812
[124]	validation_0-auc:0.78812
[125]	validation_0-auc:0.78812
[126]	validation_0-auc:0.78813
[127]	validation_0-auc:0.78813
[128]	validation_0-auc:0.78816
[129]	validation_0-auc:0.78816
[130]	validation_0-auc:0.78817
[131]	validation_0-auc:0.78817
[132]	validation_0-auc:0.78818
[133]	validation_0-auc:0.78817
[134]	validation_0-auc:0.78817
[135]	validation_0-auc:0.78820
[136]	validation_0-auc:0.78819
[137]	validation_0-auc:0.78819
[138]	validation_0-auc:0.78821
[139]	validation_0-auc:0.78821
[140]	validation_0-auc:0.78820
[141]	validation_0-auc:0.78823
[142]	validation_0-auc:0.78824
[143]	validation_0-auc:0.78823
[144]	validation_0-auc:0.78823
[145]	validation_0-auc:0.78824
[146]	validation_0-auc:0.78824
[147]	validation_0-auc:0.78824
[148]	validation_0-auc:0.78824
[149]	validation_0-auc:0.78832
[150]	validation_0-auc:0.78831
[151]	validation_0-auc:0.78831
[152]	validation_0-auc:0.78831
[153]	validation_0-auc:0.78823
[154]	validation_0-auc:0.78824
[155]	validation_0-auc:0.78823
[156]	validation_0-auc:0.78828
[157]	validation_0-auc:0.78834
[158]	validation_0-auc:0.78832
[159]	validation_0-auc:0.78828
[160]	validation_0-auc:0.78829
[161]	validation_0-auc:0.78838
[162]	validation_0-auc:0.78838
[163]	validation_0-auc:0.78838
[164]	validation_0-auc:0.78838
[165]	validation_0-auc:0.78848
[166]	validation_0-auc:0.78846
[167]	validation_0-auc:0.78850
[168]	validation_0-auc:0.78848
[169]	validation_0-auc:0.78853
[170]	validation_0-auc:0.78854
[171]	validation_0-auc:0.78854
[172]	validation_0-auc:0.78855
[173]	validation_0-auc:0.78856
[174]	validation_0-auc:0.78856
[175]	validation_0-auc:0.78865
[176]	validation_0-auc:0.78865
[177]	validation_0-auc:0.78867
[178]	validation_0-auc:0.78867
[179]	validation_0-auc:0.78875
[180]	validation_0-auc:0.78876
[181]	validation_0-auc:0.78875
[182]	validation_0-auc:0.78876
[183]	validation_0-auc:0.78877
[184]	validation_0-auc:0.78876
[185]	validation_0-auc:0.78877
[186]	validation_0-auc:0.78879
[187]	validation_0-auc:0.78878
[188]	validation_0-auc:0.78885
[189]	validation_0-auc:0.78885
[190]	validation_0-auc:0.78884
[191]	validation_0-auc:0.78883
[192]	validation_0-auc:0.78885
[193]	validation_0-auc:0.78888
[194]	validation_0-auc:0.78888
[195]	validation_0-auc:0.78894
[196]	validation_0-auc:0.78895
[197]	validation_0-auc:0.78895
[198]	validation_0-auc:0.78900
[199]	validation_0-auc:0.78901
[200]	validation_0-auc:0.78901
[201]	validation_0-auc:0.78901
[202]	validation_0-auc:0.78901
[203]	validation_0-auc:0.78902
[204]	validation_0-auc:0.78907
[205]	validation_0-auc:0.78909
[206]	validation_0-auc:0.78910
[207]	validation_0-auc:0.78912
[208]	validation_0-auc:0.78913
[209]	validation_0-auc:0.78922
[210]	validation_0-auc:0.78913
[211]	validation_0-auc:0.78913
[212]	validation_0-auc:0.78914
[213]	validation_0-auc:0.78908
[214]	validation_0-auc:0.78912
[215]	validation_0-auc:0.78913
[216]	validation_0-auc:0.78922
[217]	validation_0-auc:0.78925
[218]	validation_0-auc:0.78915
[219]	validation_0-auc:0.78950
[220]	validation_0-auc:0.78954
[221]	validation_0-auc:0.78953
[222]	validation_0-auc:0.78954
[223]	validation_0-auc:0.78960
[224]	validation_0-auc:0.78961
[225]	validation_0-auc:0.78973
[226]	validation_0-auc:0.78968
[227]	validation_0-auc:0.78969
[228]	validation_0-auc:0.78975
[229]	validation_0-auc:0.78978
[230]	validation_0-auc:0.78982
[231]	validation_0-auc:0.78986
[232]	validation_0-auc:0.78984
[233]	validation_0-auc:0.78989
[234]	validation_0-auc:0.78992
[235]	validation_0-auc:0.78993
[236]	validation_0-auc:0.78998
[237]	validation_0-auc:0.79002
[238]	validation_0-auc:0.79002
[239]	validation_0-auc:0.79012
[240]	validation_0-auc:0.79015
[241]	validation_0-auc:0.79049
[242]	validation_0-auc:0.79049
[243]	validation_0-auc:0.79047
[244]	validation_0-auc:0.79047
[245]	validation_0-auc:0.79064
[246]	validation_0-auc:0.79061
[247]	validation_0-auc:0.79063
[248]	validation_0-auc:0.79068
[249]	validation_0-auc:0.79076
[250]	validation_0-auc:0.79081
[251]	validation_0-auc:0.79082
