[0]	validation_0-auc:0.71012
[1]	validation_0-auc:0.71015
[2]	validation_0-auc:0.71015
[3]	validation_0-auc:0.71017
[4]	validation_0-auc:0.71008
[5]	validation_0-auc:0.71010
[6]	validation_0-auc:0.71008
[7]	validation_0-auc:0.71008
[8]	validation_0-auc:0.71009
[9]	validation_0-auc:0.70993
[10]	validation_0-auc:0.70992
[11]	validation_0-auc:0.70993
[12]	validation_0-auc:0.71007
[13]	validation_0-auc:0.70978
[14]	validation_0-auc:0.70967
[15]	validation_0-auc:0.70964
[16]	validation_0-auc:0.70908
[17]	validation_0-auc:0.70907
[18]	validation_0-auc:0.70905
[19]	validation_0-auc:0.70905
[20]	validation_0-auc:0.70898
[21]	validation_0-auc:0.70898
[22]	validation_0-auc:0.70898
[23]	validation_0-auc:0.70898
[24]	validation_0-auc:0.70897
[25]	validation_0-auc:0.70899
[26]	validation_0-auc:0.70899
[27]	validation_0-auc:0.70907
[28]	validation_0-auc:0.70904
[29]	validation_0-auc:0.70903
[30]	validation_0-auc:0.70905
[31]	validation_0-auc:0.70925
[32]	validation_0-auc:0.70925
[33]	validation_0-auc:0.70926
[34]	validation_0-auc:0.70931
[35]	validation_0-auc:0.70929
[36]	validation_0-auc:0.70935
[37]	validation_0-auc:0.70929
[38]	validation_0-auc:0.70937
[39]	validation_0-auc:0.70938
[40]	validation_0-auc:0.70946
[41]	validation_0-auc:0.70944
[42]	validation_0-auc:0.70975
[43]	validation_0-auc:0.70978
[44]	validation_0-auc:0.70977
[45]	validation_0-auc:0.70976
[46]	validation_0-auc:0.70974
[47]	validation_0-auc:0.70975
[48]	validation_0-auc:0.70972
[49]	validation_0-auc:0.70975
[50]	validation_0-auc:0.70975
[51]	validation_0-auc:0.70976
[52]	validation_0-auc:0.70975
[53]	validation_0-auc:0.70980
[54]	validation_0-auc:0.70979
[55]	validation_0-auc:0.70979
[56]	validation_0-auc:0.70979
[57]	validation_0-auc:0.70978
[58]	validation_0-auc:0.70977
[59]	validation_0-auc:0.70979
[60]	validation_0-auc:0.70978
[61]	validation_0-auc:0.70978
[62]	validation_0-auc:0.70980
[63]	validation_0-auc:0.70981
[64]	validation_0-auc:0.70978
[65]	validation_0-auc:0.70974
[66]	validation_0-auc:0.70974
[67]	validation_0-auc:0.70975
[68]	validation_0-auc:0.70975
[69]	validation_0-auc:0.70975
[70]	validation_0-auc:0.70968
[71]	validation_0-auc:0.70967
[72]	validation_0-auc:0.70967
[73]	validation_0-auc:0.70967
[74]	validation_0-auc:0.70967
[75]	validation_0-auc:0.70967
[76]	validation_0-auc:0.70966
[77]	validation_0-auc:0.70966
[78]	validation_0-auc:0.70966
[79]	validation_0-auc:0.70965
[80]	validation_0-auc:0.70965
[81]	validation_0-auc:0.70964
[82]	validation_0-auc:0.70963
[83]	validation_0-auc:0.70963
[84]	validation_0-auc:0.70964
[85]	validation_0-auc:0.70963
[86]	validation_0-auc:0.70964
[87]	validation_0-auc:0.70963
[88]	validation_0-auc:0.70963
[89]	validation_0-auc:0.70963
[90]	validation_0-auc:0.70963
[91]	validation_0-auc:0.70965
[92]	validation_0-auc:0.70965
[93]	validation_0-auc:0.70967
[94]	validation_0-auc:0.70968
[95]	validation_0-auc:0.70967
[96]	validation_0-auc:0.70967
[97]	validation_0-auc:0.70966
[98]	validation_0-auc:0.70967
[99]	validation_0-auc:0.70967
[100]	validation_0-auc:0.70967
[101]	validation_0-auc:0.70964
[102]	validation_0-auc:0.70967
[103]	validation_0-auc:0.70951
[104]	validation_0-auc:0.70952
[105]	validation_0-auc:0.70952
[106]	validation_0-auc:0.70952
[107]	validation_0-auc:0.70952
[108]	validation_0-auc:0.70952
[109]	validation_0-auc:0.70952
[110]	validation_0-auc:0.70952
[111]	validation_0-auc:0.70948
[112]	validation_0-auc:0.70948
[113]	validation_0-auc:0.70949
[114]	validation_0-auc:0.70947
[115]	validation_0-auc:0.70947
[116]	validation_0-auc:0.70948
[117]	validation_0-auc:0.70948
[118]	validation_0-auc:0.70948
[119]	validation_0-auc:0.70948
[120]	validation_0-auc:0.70949
[121]	validation_0-auc:0.70948
[122]	validation_0-auc:0.70948
[123]	validation_0-auc:0.70948
[124]	validation_0-auc:0.70948
[125]	validation_0-auc:0.70948
[126]	validation_0-auc:0.70948
[127]	validation_0-auc:0.70947
[128]	validation_0-auc:0.70949
[129]	validation_0-auc:0.70950
[130]	validation_0-auc:0.70950
[131]	validation_0-auc:0.70951
[132]	validation_0-auc:0.70951
[133]	validation_0-auc:0.70950
[134]	validation_0-auc:0.70952
[135]	validation_0-auc:0.70951
[136]	validation_0-auc:0.70951
[137]	validation_0-auc:0.70951
[138]	validation_0-auc:0.70951
[139]	validation_0-auc:0.70949
[140]	validation_0-auc:0.70950
[141]	validation_0-auc:0.70949
[142]	validation_0-auc:0.70949
[143]	validation_0-auc:0.70949
[144]	validation_0-auc:0.70949
[145]	validation_0-auc:0.70949
[146]	validation_0-auc:0.70950
[147]	validation_0-auc:0.70949
[148]	validation_0-auc:0.70949
[149]	validation_0-auc:0.70949
[150]	validation_0-auc:0.70949
[151]	validation_0-auc:0.70948
[152]	validation_0-auc:0.70948
[153]	validation_0-auc:0.70950
[154]	validation_0-auc:0.70950
[155]	validation_0-auc:0.70952
[156]	validation_0-auc:0.70952
[157]	validation_0-auc:0.70952
[158]	validation_0-auc:0.70950
[159]	validation_0-auc:0.70952
[160]	validation_0-auc:0.70952
[161]	validation_0-auc:0.70953
[162]	validation_0-auc:0.70952
[163]	validation_0-auc:0.70952
[164]	validation_0-auc:0.70951
[165]	validation_0-auc:0.70951
[166]	validation_0-auc:0.70951
[167]	validation_0-auc:0.70950
[168]	validation_0-auc:0.70951
[169]	validation_0-auc:0.70951
[170]	validation_0-auc:0.70951
[171]	validation_0-auc:0.70950
[172]	validation_0-auc:0.70952
[173]	validation_0-auc:0.70952
[174]	validation_0-auc:0.70952
[175]	validation_0-auc:0.70953
[176]	validation_0-auc:0.70953
[177]	validation_0-auc:0.70953
[178]	validation_0-auc:0.70953
[179]	validation_0-auc:0.70953
[180]	validation_0-auc:0.70954
[181]	validation_0-auc:0.70956
[182]	validation_0-auc:0.70956
[183]	validation_0-auc:0.70955
[184]	validation_0-auc:0.70956
[185]	validation_0-auc:0.70955
[186]	validation_0-auc:0.70956
[187]	validation_0-auc:0.70957
